center      name       ll          lr          cl          cr          rl          rr     
3933.675    CaK        3931.68     3932.18     3933.18     3934.18     3935.18     3935.68
3968.469    CaH        3966.79     3967.21     3968.05     3968.89     3969.73     3970.15
3824.45     FeI        3824.19     3824.25     3824.37     3824.53     3824.61     3824.67
3849.01     LaII       3848.37     3848.50     3848.95     3849.10     3849.15     3849.25
3856.38     FeI        3856.05     3856.13     3856.29     3856.48     3856.61     3856.69
3878.02     FeI        3877.80     3877.90     3877.90     3878.15     3878.15     3878.25
3878.58     FeI        3878.35     3878.50     3878.50     3878.70     3879.20     3879.30
3859.92     FeI        3859.43     3859.55     3859.79     3860.05     3860.27     3860.39
3886.28     FeI        3885.88     3885.98     3886.18     3886.38     3886.58     3886.68
3895.66     FeI        3895.41     3895.47     3895.59     3895.73     3895.83     3895.89
3899.71     FeI        3899.55     3899.59     3899.67     3899.75     3899.83     3899.87
3905.53     SiI        3905.13     3905.23     3905.43     3905.64     3905.83     3905.93
3907.94     FeI        3907.55     3907.63     3907.90     3907.98     3908.05     3908.15
3908.76     CrI        3908.60     3908.63     3908.63     3908.82     3908.82     3908.87
3914.33     TiI+VII    3913.80     3913.90     3914.23     3914.41     3914.80     3914.90
3917.19     FeI        3916.85     3916.92     3917.10     3917.27     3917.45     3917.52
3920.26     FeI        3920.10     3920.14     3920.22     3920.30     3920.38     3920.42
3922.92     FeI        3922.60     3922.68     3922.84     3923.00     3923.16     3923.24
3927.93     FeI        3927.45     3927.60     3927.85     3928.00     3928.45     3928.55
3930.30     FeI        3930.00     3930.15     3930.20     3930.40     3930.60     3930.75
3944.01     AlI        3942.55     3942.70     3943.30     3944.70     3945.55     3945.80
3961.53     AlI        3958.80     3959.14     3960.39     3962.71     3963.80     3964.20
4020.90     CoI        4020.60     4020.75     4020.82     4020.97     4021.05     4021.20
4032.63     FeI        4032.50     4032.56     4032.60     4032.68     4032.72     4032.80
4045.82     FeI        4044.20     4044.40     4044.57     4047.13     4047.40     4047.60
4048.75     MnI        4048.45     4048.60     4048.69     4048.81     4048.87     4048.94
4055.55     MnI        4055.30     4055.40     4055.50     4055.60     4055.70     4055.80
