name	center	ew	ew_diff	asym_diff	logS_ew_p	logS_ew_pp	logS_asym_p	logS_asym_pp	rv_ew_p	rv_ew_pp	rv_asym_p	rv_asym_pp
CaK	3933.675	0.41698	-0.32046	-0.01129	-0.96725	0.00000	-0.17872	0.00000	0.26787	0.00000	0.16561	0.00000
CaH	3968.469	0.39711	-0.25925	0.03225	-0.96660	0.00000	0.64261	0.00000	0.24218	0.00000	-0.28025	0.00000
FeI	3824.45	0.11704	-0.02022	0.01321	-0.38399	0.00000	0.12166	0.00000	0.06085	0.00368	-0.03322	0.11297
LaII	3849.01	0.09311	-0.01772	0.00663	-0.51088	0.00000	0.12244	0.00000	0.82944	0.00000	0.03083	0.14139
FeI	3856.38	0.12638	-0.01498	-0.04775	-0.28006	0.00000	0.06839	0.00109	0.10454	0.00000	-0.01865	0.37380
FeI	3878.02	0.11231	-0.01506	0.00176	-0.34507	0.00000	0.21218	0.00000	0.46972	0.00000	-0.31670	0.00000
FeI	3878.58	0.11220	-0.03132	0.11142	-0.61176	0.00000	0.43847	0.00000	0.65993	0.00000	-0.31860	0.00000
FeI	3859.92	0.16886	-0.02530	0.00264	-0.45589	0.00000	0.07268	0.00052	0.19574	0.00000	-0.03507	0.09431
FeI	3886.28	0.13814	-0.01175	0.04090	-0.38106	0.00000	0.18282	0.00000	0.15216	0.00000	-0.02508	0.23154
FeI	3895.66	0.10337	-0.00881	0.07362	-0.38485	0.00000	0.21152	0.00000	0.07637	0.00026	-0.04142	0.04810
FeI	3899.71	0.06554	-0.00793	0.03012	-0.44340	0.00000	0.15248	0.00000	0.12822	0.00000	0.00491	0.81485
SiI	3905.53	0.13173	-0.00794	0.01543	-0.40108	0.00000	0.07227	0.00056	0.06972	0.00087	0.00717	0.73231
FeI	3907.94	0.06140	-0.00488	0.02187	-0.32830	0.00000	0.20069	0.00000	0.82274	0.00000	-0.15279	0.00000
CrI	3908.76	0.09573	0.00524	0.00354	0.31191	0.00000	0.10259	0.00000	-0.58856	0.00000	-0.07094	0.00071
TiI+VII	3914.33	0.14080	-0.00121	-0.00077	-0.23754	0.00000	0.20171	0.00000	0.06752	0.00127	-0.07263	0.00052
FeI	3917.19	0.13788	-0.00394	0.01546	-0.32954	0.00000	-0.00982	0.63971	0.07453	0.00037	0.02197	0.29462
FeI	3920.26	0.06576	-0.00297	0.01571	-0.47744	0.00000	0.22695	0.00000	0.15028	0.00000	-0.08339	0.00007
FeI	3922.92	0.12272	-0.01082	0.00653	-0.67425	0.00000	0.19008	0.00000	0.15861	0.00000	-0.07062	0.00075
FeI	3927.93	0.12182	-0.01238	0.02160	-0.50265	0.00000	0.28605	0.00000	0.21378	0.00000	-0.04726	0.02411
FeI	3930.3	0.12937	-0.01262	0.02540	-0.55075	0.00000	0.19560	0.00000	0.22842	0.00000	-0.06620	0.00158
AlI	3944.01	0.92921	-0.02548	0.00100	-0.67359	0.00000	0.20791	0.00000	0.13585	0.00000	-0.09925	0.00000
AlI	3961.53	0.99798	-0.03913	0.00227	-0.62856	0.00000	0.00200	0.92386	0.10909	0.00000	0.05942	0.00456
CoI	4020.9	0.10186	-0.00236	0.00206	-0.32958	0.00000	0.15183	0.00000	0.11430	0.00000	-0.01112	0.59589
FeI	4032.63	0.06110	-0.00277	0.02544	-0.34017	0.00000	0.39479	0.00000	0.13026	0.00000	-0.10170	0.00000
FeI	4045.82	1.55710	-0.02996	0.00263	-0.78811	0.00000	0.24561	0.00000	0.22554	0.00000	-0.12835	0.00000
MnI	4048.75	0.10177	-0.00151	0.01205	-0.20701	0.00000	0.14415	0.00000	0.04726	0.02413	0.00806	0.70051
MnI	4055.55	0.08742	-0.00356	0.00929	-0.47056	0.00000	0.20876	0.00000	0.68131	0.00000	-0.09973	0.00000
MnI+CaI	4058.93	0.06876	-0.00111	0.01681	-0.33767	0.00000	0.12432	0.00000	0.15623	0.00000	-0.02973	0.15615
MnI	4061.73	0.09368	-0.00276	-0.00580	-0.59414	0.00000	-0.06755	0.00126	0.11652	0.00000	-0.01654	0.43011
FeI	4063.6	1.24584	-0.03497	0.00333	-0.78114	0.00000	0.08321	0.00007	0.21465	0.00000	0.07280	0.00051
FeI	4071.74	1.13282	-0.01900	-0.00056	-0.79520	0.00000	0.14441	0.00000	0.22623	0.00000	-0.05147	0.01404
SrII	4077.72	0.11023	-0.00136	0.01450	-0.03680	0.07913	0.20810	0.00000	0.00119	0.95468	-0.03437	0.10104
VI	4092.68	0.10914	-0.00249	-0.02256	-0.59859	0.00000	-0.08404	0.00006	0.23418	0.00000	0.26961	0.00000
VI	4099.79	0.07721	-0.00141	0.01213	-0.43318	0.00000	0.27523	0.00000	0.25488	0.00000	-0.00761	0.71661
FeI	4100.74	0.07018	-0.00065	0.02832	-0.19701	0.00000	0.40373	0.00000	0.24531	0.00000	-0.08361	0.00006
SiI	4102.94	0.07645	-0.00224	0.01265	-0.62909	0.00000	0.29679	0.00000	0.22738	0.00000	-0.09493	0.00001
FeI+VI	4109.8	0.10465	-0.00175	-0.01059	-0.52511	0.00000	-0.23916	0.00000	0.22376	0.00000	0.04225	0.04382
CoI	4110.54	0.09489	-0.00207	-0.00089	-0.56669	0.00000	0.08058	0.00012	0.23252	0.00000	0.00166	0.93702
VI	4111.78	0.07864	-0.00215	0.00475	-0.63234	0.00000	0.24457	0.00000	0.29710	0.00000	-0.03009	0.15121
VI	4115.18	0.08370	-0.00189	0.01528	-0.53281	0.00000	0.25822	0.00000	0.29192	0.00000	-0.10380	0.00000
VI	4116.48	0.05733	-0.00188	0.01412	-0.67358	0.00000	0.26889	0.00000	0.27686	0.00000	-0.00929	0.65774
VI	4116.55	0.05662	-0.00220	0.00375	-0.78540	0.00000	-0.26182	0.00000	0.29495	0.00000	0.04433	0.03441
CoI	4121.32	0.08914	-0.00323	0.03004	-0.39753	0.00000	0.37970	0.00000	0.73602	0.00000	-0.25437	0.00000
FeI	4121.81	0.09363	0.00249	-0.00176	0.63120	0.00000	-0.11816	0.00000	-0.22050	0.00000	0.12521	0.00000
FeI	4132.06	0.31440	-0.00722	0.00149	-0.72581	0.00000	-0.05643	0.00707	0.21288	0.00000	0.02758	0.18831
FeI	4143.87	0.09084	-0.00311	0.02477	-0.32073	0.00000	0.34061	0.00000	0.37984	0.00000	-0.25491	0.00000
FeI	4147.67	0.06193	-0.00255	0.03520	-0.35602	0.00000	0.40842	0.00000	0.18701	0.00000	-0.11138	0.00000
FeI	4174.92	0.07818	-0.00347	-0.00685	-0.55355	0.00000	-0.13322	0.00000	0.11533	0.00000	0.27579	0.00000
FeI	4177.6	0.06458	-0.00147	0.00704	-0.44293	0.00000	0.03074	0.14257	0.20408	0.00000	-0.02169	0.30090
VII	4180.83	0.13901	-0.00482	0.00876	-0.79541	0.00000	0.40142	0.00000	0.43726	0.00000	-0.20136	0.00000
FeI	4187.04	0.08031	-0.00020	0.02562	0.05565	0.00791	0.37797	0.00000	-0.00092	0.96491	-0.05667	0.00684
CoI	4190.71	0.10933	-0.00343	0.00959	-0.80771	0.00000	0.37504	0.00000	0.22094	0.00000	-0.06731	0.00131
FeI	4206.7	0.06280	-0.00382	0.01985	-0.76937	0.00000	0.20027	0.00000	0.16900	0.00000	0.03394	0.10546
FeI	4216.19	0.07151	-0.00618	0.01857	-0.87113	0.00000	0.33636	0.00000	0.20337	0.00000	0.00144	0.94531
CaI	4226.73	2.04196	-0.05501	0.00245	-0.92720	0.00000	0.20757	0.00000	0.32588	0.00000	-0.13841	0.00000
ScII	4246.83	0.07126	-0.00090	0.01472	-0.02519	0.22950	0.48951	0.00000	0.09798	0.00000	-0.19163	0.00000
FeI	4250.12	0.07644	0.00023	0.04218	-0.02960	0.15797	0.39613	0.00000	0.12874	0.00000	-0.05110	0.01474
FeI	4250.79	0.08702	-0.00184	0.03600	-0.34977	0.00000	0.41955	0.00000	0.19157	0.00000	-0.17249	0.00000
CoI	4252.3	0.07441	-0.00312	0.01008	-0.80290	0.00000	0.23205	0.00000	0.32369	0.00000	-0.12416	0.00000
CrI	4254.34	0.51043	-0.02253	0.01273	-0.80195	0.00000	0.37246	0.00000	0.64937	0.00000	-0.62943	0.00000
FeI	4258.32	0.07312	-0.00156	0.01925	-0.35909	0.00000	0.41658	0.00000	0.37662	0.00000	-0.16847	0.00000
TiI	4281.37	0.04258	-0.00110	-0.01898	-0.57909	0.00000	-0.20170	0.00000	0.33666	0.00000	0.57474	0.00000
FeI	4291.47	0.06804	-0.00214	0.02354	-0.64726	0.00000	0.42846	0.00000	0.16198	0.00000	-0.08225	0.00009
FeI+TiII	4294.13	0.11748	-0.00403	-0.00068	-0.68914	0.00000	0.01959	0.35021	0.19288	0.00000	-0.00526	0.80179
CaI	4298.99	0.04876	-0.00132	0.04187	-0.13106	0.00000	0.33960	0.00000	0.08872	0.00002	-0.17466	0.00000
CaI	4318.65	0.08182	-0.00068	0.01550	-0.05374	0.01032	0.44290	0.00000	0.02850	0.17397	-0.14007	0.00000
ScII	4320.74	0.10939	0.00194	0.00532	0.65972	0.00000	0.17707	0.00000	-0.23054	0.00000	-0.06590	0.00165
FeI	4325.77	0.13481	-0.00343	0.00585	-0.19615	0.00000	0.18749	0.00000	0.05577	0.00777	-0.05851	0.00523
VI	4330.02	0.07100	-0.00180	0.00164	-0.73962	0.00000	0.19493	0.00000	0.17114	0.00000	-0.11391	0.00000
FeI	4337.05	0.08034	-0.00110	0.02562	-0.38321	0.00000	0.48679	0.00000	0.04745	0.02354	-0.07759	0.00021
TiII	4337.92	0.08597	0.00261	0.00238	0.65944	0.00000	0.12201	0.00000	-0.24533	0.00000	-0.10209	0.00000
Hgamma	4340.49	0.31101	0.02219	-0.00073	0.94211	0.00000	0.22109	0.00000	-0.38378	0.00000	-0.10654	0.00000
VI	4341.0	0.05871	-0.00145	0.01334	-0.67421	0.00000	0.42879	0.00000	0.22337	0.00000	-0.16583	0.00000
FeII	4351.77	0.10503	-0.00315	0.01995	-0.67181	0.00000	0.42108	0.00000	0.24382	0.00000	-0.11778	0.00000
MgI	4351.91	0.11163	-0.00115	0.01985	-0.31635	0.00000	0.30727	0.00000	0.05059	0.01577	-0.13185	0.00000
FeI	4352.74	0.08545	-0.00012	0.00306	0.19302	0.00000	0.45493	0.00000	-0.05981	0.00430	-0.18188	0.00000
VI	4352.87	0.11844	-0.00189	0.01822	-0.69822	0.00000	0.54377	0.00000	0.24928	0.00000	-0.24723	0.00000
FeI	4367.91	0.06007	-0.00011	0.01262	0.19573	0.00000	0.28645	0.00000	0.11288	0.00000	-0.11638	0.00000
VI	4368.05	0.03651	-0.00115	-0.00241	-0.49718	0.00000	0.13210	0.00000	0.17282	0.00000	-0.10632	0.00000
CrI	4371.28	0.08609	0.00034	0.01781	0.30011	0.00000	0.33811	0.00000	0.06636	0.00153	-0.11091	0.00000
CrI	4374.16	0.09952	-0.00174	0.00973	-0.59700	0.00000	0.50641	0.00000	0.30176	0.00000	-0.15721	0.00000
ScII	4374.47	0.05814	-0.00026	0.01218	-0.07886	0.00017	0.12767	0.00000	0.23742	0.00000	-0.03923	0.06129
FeI	4375.94	0.06926	-0.00980	0.03644	-0.95397	0.00000	0.41857	0.00000	0.30935	0.00000	-0.03821	0.06833
VI	4379.23	0.11358	-0.00401	0.01882	-0.73511	0.00000	0.40899	0.00000	0.31931	0.00000	-0.20271	0.00000
FeI	4383.55	1.85307	-0.04057	0.00174	-0.88638	0.00000	0.31402	0.00000	0.30943	0.00000	-0.23105	0.00000
FeI	4389.25	0.06358	-0.00014	0.03836	-0.25924	0.00000	0.53753	0.00000	0.27898	0.00000	-0.19392	0.00000
VI	4389.99	0.10176	-0.00137	0.01261	-0.35305	0.00000	0.17494	0.00000	0.19813	0.00000	-0.02427	0.24702
TiII	4395.04	0.12832	0.00250	0.00831	0.78042	0.00000	-0.01349	0.52008	-0.21629	0.00000	-0.02151	0.30491
VI	4395.23	0.08375	-0.00085	0.03026	-0.59625	0.00000	0.60063	0.00000	0.17918	0.00000	-0.14606	0.00000
TiII	4399.77	0.10569	0.00194	-0.00319	0.53572	0.00000	0.13412	0.00000	-0.46197	0.00000	0.07260	0.00053
FeI	4404.76	1.15825	-0.02524	-0.00072	-0.89901	0.00000	-0.07125	0.00067	0.34497	0.00000	0.25279	0.00000
VI	4406.64	0.09696	-0.00224	0.01146	-0.80525	0.00000	0.37961	0.00000	0.29914	0.00000	-0.17022	0.00000
FeI	4407.68	0.14380	-0.00383	-0.01846	-0.75749	0.00000	-0.47649	0.00000	0.33485	0.00000	0.14099	0.00000
VI	4408.2	0.09316	-0.00061	0.00959	-0.41014	0.00000	0.40432	0.00000	0.26343	0.00000	-0.13631	0.00000
FeI	4408.47	0.16996	-0.00398	0.00525	-0.66984	0.00000	0.37195	0.00000	0.30263	0.00000	-0.12092	0.00000
VI	4416.47	0.08163	-0.00182	-0.00067	-0.64031	0.00000	0.44032	0.00000	0.39632	0.00000	0.28910	0.00000
VI	4421.57	0.04796	-0.00159	0.01707	-0.66262	0.00000	0.42309	0.00000	0.26155	0.00000	-0.20169	0.00000
VI+TiI	4426.02	0.08611	-0.00354	-0.00574	-0.76033	0.00000	-0.23859	0.00000	0.38205	0.00000	-0.03576	0.08798
FeI	4427.32	0.09418	-0.00934	0.02000	-0.93820	0.00000	0.36792	0.00000	0.28217	0.00000	-0.03361	0.10888
VI+CrI	4428.52	0.08835	-0.00193	0.00896	-0.69504	0.00000	0.33783	0.00000	0.16087	0.00000	-0.11547	0.00000
VI	4429.79	0.07749	-0.00164	0.00224	-0.76982	0.00000	0.35965	0.00000	0.14437	0.00000	-0.08465	0.00005
FeI	4435.15	0.07733	-0.00107	0.01761	-0.58427	0.00000	0.57046	0.00000	0.22430	0.00000	-0.05820	0.00547
VI	4436.14	0.05811	-0.00153	-0.00006	-0.75836	0.00000	0.18787	0.00000	0.24853	0.00000	-0.07285	0.00050
VI	4437.83	0.07805	-0.00212	0.00662	-0.67048	0.00000	0.52877	0.00000	0.20103	0.00000	-0.20246	0.00000
FeI	4439.88	0.06682	0.00182	0.00233	0.52261	0.00000	0.15980	0.00000	-0.51327	0.00000	0.19017	0.00000
TiII+VI	4441.69	0.08759	-0.00187	0.00597	-0.76583	0.00000	0.30875	0.00000	0.27586	0.00000	-0.11508	0.00000
FeI	4442.34	0.08834	-0.00071	0.02872	-0.37991	0.00000	0.54365	0.00000	0.10066	0.00000	-0.15235	0.00000
TiII	4443.81	0.08168	0.00014	0.00830	0.42690	0.00000	0.18277	0.00000	-0.12146	0.00000	-0.09318	0.00001
VI	4444.21	0.08545	-0.00152	0.01742	-0.72248	0.00000	0.60932	0.00000	0.31163	0.00000	-0.31626	0.00000
MnI	4451.59	0.11959	-0.00053	0.00302	0.33302	0.00000	0.17663	0.00000	-0.19592	0.00000	-0.10923	0.00000
