filename	bjd	ew	asym	
HARPS.2010-06-01T23.11.51.057	2455349.4709	-0.12484108098522756	-0.0673794583378422
HARPS.2010-06-04T23.08.11.865	2455352.46825	-0.09373110090659277	-0.6011878231714308
HARPS.2010-06-03T23.20.40.541	2455351.47697	-0.11308612924391039	-0.5634228312083112
HARPS.2010-06-02T05.48.50.103	2455349.74658	-0.11471667122954339	-0.12927481873555213
HARPS.2010-06-07T23.10.34.877	2455355.46985	-0.0925706169393502	-0.5109584061460528
HARPS.2010-06-05T23.01.12.868	2455353.46338	-0.048486987448304944	-0.3343149111247883
HARPS.2010-06-06T22.52.26.332	2455354.45727	-0.09588215451447679	-0.548985977618042
HARPS.2010-06-08T05.04.04.255	2455355.71533	-0.033852868800390574	-0.17967344045879963
HARPS.2010-06-11T22.54.41.879	2455359.45876	-0.014218723097308908	-0.08532375719472252
HARPS.2010-06-12T01.01.37.284	2455359.5468900003	0.00958956996430771	0.13640097298203413
