filename	bjd	ew	asym	
HARPS.2010-03-26T07.36.16.044	2455281.8194	-0.06044862911413036	-0.02081214062788006
HARPS.2010-03-25T05.35.56.040	2455280.73577	-0.047594520552458865	-0.006385963969437247
HARPS.2010-03-29T03.55.10.979	2455284.66602	-0.03976269107861283	-0.026962143080983214
HARPS.2010-03-24T05.27.52.150	2455279.7301	-0.06577103608458358	-0.01772335662736002
HARPS.2010-03-28T05.44.51.983	2455283.74214	-0.07581340710482504	-0.0035441121191746028
HARPS.2010-03-27T05.48.01.079	2455282.74428	-0.05636020011542278	-0.014563291481681118
HARPS.2010-03-23T05.34.00.274	2455278.7343	-0.06577981711630486	-0.01642476940340476
HARPS.2010-04-01T05.46.06.891	2455287.74324	-0.04530113926591076	-0.03062720400115526
HARPS.2010-04-03T04.54.51.313	2455289.70775	-0.08388382508413253	-0.020009511144608805
HARPS.2010-04-02T03.33.35.362	2455288.65126	-0.03809799852268136	-0.0027314675875791394
HARPS.2010-04-04T03.43.45.413	2455290.65843	-0.055124328860587476	-0.003944396861673916
HARPS.2010-04-05T07.07.37.652	2455291.80006	-0.024945775455352127	-0.00011750759347850526
HARPS.2010-04-08T03.04.16.162	2455294.63121	-0.2418408780606544	-0.14167925818855087
HARPS.2010-04-06T02.57.34.551	2455292.62646	-0.01672716583616297	0.0028227775777003306
HARPS.2010-04-07T02.56.54.613	2455293.62605	-0.06818295367091902	0.004725128824874858
HARPS.2010-04-09T02.40.20.683	2455295.6146400003	-0.046324808260304925	-0.007106885485770542
HARPS.2010-04-10T02.39.59.561	2455296.61444	-0.04926434350536545	-0.00495442448998995
HARPS.2010-04-11T09.18.39.649	2455297.89136	-0.050233456798392015	-0.009110696922650208
HARPS.2010-04-13T02.17.48.197	2455299.59918	-0.06425891012652009	-0.011298150947873564
HARPS.2010-04-29T06.43.23.145	2455315.78425	-0.02802220678844157	-0.17638206719344884
HARPS.2010-04-12T02.17.11.281	2455298.5987	-0.07466089071106817	-0.027296555465013306
HARPS.2010-04-14T06.17.22.603	2455300.76559	-0.019015741654871736	0.0032333435899403185
HARPS.2010-04-19T05.35.00.771	2455305.73637	-0.02692169529180563	-0.05075132484625278
HARPS.2010-04-18T02.53.13.135	2455304.62398	-0.05840220087824798	-0.060446316038537784
HARPS.2010-05-05T02.18.20.611	2455321.60026	-0.03660456803707182	-0.09806771994653474
HARPS.2010-05-04T02.12.06.850	2455320.59597	-0.05518200425386901	-0.10446204423409622
HARPS.2010-05-06T02.02.13.623	2455322.5890900004	-0.049481692373336356	-0.12785198133806008
HARPS.2010-05-09T01.19.36.905	2455325.5595400003	-0.033728115284520015	-0.0670809638360712
HARPS.2010-05-08T01.30.42.455	2455324.56724	-0.06103709032688847	-0.04662517853929948
HARPS.2010-05-07T01.53.50.533	2455323.58329	-0.07685543070102062	-0.3519041711953923
HARPS.2010-05-10T01.37.52.500	2455326.57224	-0.03499483902171553	-0.004672162744025821
HARPS.2010-05-11T01.47.43.637	2455327.5791	-0.02541665131535809	-0.0013561501764431938
HARPS.2010-05-18T02.12.14.458	2455334.59618	-0.06546593372727665	-0.010812320565563693
HARPS.2010-05-12T01.18.17.967	2455328.55867	-0.0447300953985184	-0.025744389700953496
HARPS.2010-05-19T02.03.20.036	2455335.59001	-0.01842339012201713	-0.0086970770230419
HARPS.2010-05-22T02.40.22.034	2455338.61573	-0.04826163971389728	-0.03361845630219418
HARPS.2010-05-24T02.58.02.537	2455340.62799	-0.03208348982858266	-0.17580731933392824
HARPS.2010-05-25T02.45.22.940	2455341.61919	-0.0712912606742264	-0.01872673400720526
HARPS.2010-05-26T01.06.03.456	2455342.55029	-0.08011004776607239	-0.08924896010339389
HARPS.2010-06-01T23.11.51.057	2455349.4709	-0.233393049446854	-0.5169155229150457
HARPS.2010-06-04T01.57.08.097	2455351.5855900003	-0.08522934223631906	-0.2493766631939922
HARPS.2010-06-02T02.21.22.055	2455349.60251	-0.16957536904987291	-0.44231069014082003
HARPS.2010-06-05T02.31.22.873	2455352.60935	-0.15053440238493124	-0.2966193002232631
HARPS.2010-06-03T03.30.16.543	2455350.65034	-0.14098017300262444	-0.31170701835525727
HARPS.2010-06-07T01.43.47.236	2455354.5762400003	-0.06843252009633015	-0.17543485327144204
HARPS.2010-06-08T02.06.08.307	2455355.59176	-0.062099368549476085	-0.049014236869116656
HARPS.2010-06-11T04.59.34.184	2455358.71221	-0.039433922600012876	-0.18890794924030696
HARPS.2010-06-06T02.00.12.979	2455353.58768	-0.11934884229396552	-0.3107972490378976
HARPS.2010-06-12T01.01.37.284	2455359.5468900003	-0.03311790783620864	-0.014222258144773514
