filename	bjd	ew	asym	
HARPS.2010-06-01T23.11.51.057	2455349.4709	-0.1995002247510092	-0.29706398462647043
HARPS.2010-06-04T23.08.11.865	2455352.46825	-0.15941969400893072	-0.37660910218545895
HARPS.2010-06-03T23.20.40.541	2455351.47697	-0.1714941647081726	-0.42410698351423304
HARPS.2010-06-02T05.48.50.103	2455349.74658	-0.16640292039675914	-0.28856715118691856
HARPS.2010-06-07T23.10.34.877	2455355.46985	-0.1453953415967812	-0.2779257156063555
HARPS.2010-06-05T23.01.12.868	2455353.46338	-0.03905188653485072	-0.10438844221377841
HARPS.2010-06-06T22.52.26.332	2455354.45727	-0.1451461976471796	-0.2676949886993438
HARPS.2010-06-08T05.04.04.255	2455355.71533	-0.013998381754298891	-0.027915724404456554
HARPS.2010-06-11T22.54.41.879	2455359.45876	0.0101852613187084	0.047892991420060094
HARPS.2010-06-12T01.01.37.284	2455359.5468900003	0.02898632717205138	0.06356074719231841
