filename	bjd	ew	asym	
HARPS.2010-03-23T05.38.26.910	2455278.73738	-0.0022489189761749815	-0.024275767376243484
HARPS.2010-03-23T05.41.46.922	2455278.7397	-0.0006333916869886747	-0.005094134960830554
HARPS.2010-03-23T05.34.00.274	2455278.7343	-0.00019107800387753023	0.030069348667657647
HARPS.2010-03-23T05.35.06.938	2455278.73507	-0.0005234380067191098	-0.006805009113316829
HARPS.2010-03-23T05.37.20.175	2455278.73662	-0.0007107481710891754	-0.015746003460784697
HARPS.2010-03-23T05.40.39.918	2455278.73892	-0.00016248918234921337	0.009100587086143919
HARPS.2010-03-23T05.42.52.925	2455278.74046	-0.0022087207945412596	-0.02168790876514959
HARPS.2010-03-23T05.39.33.014	2455278.73816	0.000511398120508565	-0.01087739958548195
HARPS.2010-03-23T05.45.06.973	2455278.74201	-0.0009574454036484281	-0.0007937155786450489
HARPS.2010-03-23T05.43.59.899	2455278.7412400004	-0.002604678339549828	-0.010186572819437911
HARPS.2010-03-23T07.05.53.762	2455278.79811	-0.0022403219565192973	0.008118995777491644
HARPS.2010-03-23T07.07.00.166	2455278.79889	0.00047012353195816943	-0.0022054897266343687
HARPS.2010-03-23T05.48.27.925	2455278.74434	0.0006347270834177061	-0.018675419491333445
HARPS.2010-03-23T05.47.21.191	2455278.74357	-2.5857045425792495e-05	-0.02459575668422509
HARPS.2010-03-23T07.08.07.090	2455278.79966	-0.003165208653615109	-0.014153570820380379
HARPS.2010-03-23T05.46.14.177	2455278.7428	0.00037764620305125814	-0.02317978105581897
HARPS.2010-03-23T07.09.13.914	2455278.80043	0.00044078078320773515	-0.013658680398206724
HARPS.2010-03-23T07.10.20.928	2455278.8012	-0.00120965060804069	-0.014611522508161445
HARPS.2010-03-23T07.11.27.932	2455278.80198	-0.0013540000322297071	-0.0009300083523426927
HARPS.2010-03-23T07.13.41.910	2455278.80353	0.001188968098564561	-0.021242897296440022
HARPS.2010-03-23T07.14.48.923	2455278.80431	-0.0009955559233142271	0.01993042784578869
HARPS.2010-03-23T07.12.34.916	2455278.80276	0.00037087483089683727	-0.010030945886908227
HARPS.2010-03-23T07.17.02.171	2455278.80586	-0.0023500108192407512	-0.049811258543741466
HARPS.2010-03-23T07.15.55.087	2455278.80508	-0.001439836963736366	-0.041784138340883126
HARPS.2010-03-23T07.18.09.095	2455278.80663	-0.001471751793351608	0.003762861505129056
HARPS.2010-03-23T07.19.15.939	2455278.8074	-0.001035597780010571	-0.013600341180476594
HARPS.2010-03-23T07.20.21.932	2455278.80816	-0.0013923365854028394	0.004895127843077995
HARPS.2010-03-23T08.47.13.212	2455278.8684900003	-0.00018520165893508753	-0.013576500780108636
HARPS.2010-03-23T08.49.26.920	2455278.87003	-0.001420565596226563	0.010224019520205574
HARPS.2010-03-23T08.50.33.934	2455278.8708	-0.0012572446774555056	-0.006540569863373147
HARPS.2010-03-23T08.51.40.917	2455278.87158	-0.002537973261675934	-0.015155041798157631
HARPS.2010-03-23T08.48.19.916	2455278.86925	-0.001715483686040669	-0.017318294096344
HARPS.2010-03-23T08.52.47.912	2455278.87235	-6.842780788409509e-05	-0.004011588570589475
HARPS.2010-03-23T08.53.54.925	2455278.87313	-0.0007094505804521517	-0.03336675195750438
HARPS.2010-03-23T08.55.01.930	2455278.87391	-0.0015193523136228773	0.012897584450130006
HARPS.2010-03-23T08.56.09.203	2455278.87469	0.00016255435481708053	0.01582538018200641
HARPS.2010-03-23T08.57.16.097	2455278.87547	0.0007459196975831839	0.0037687725264279326
HARPS.2010-03-23T08.59.29.904	2455278.87701	-0.0005694951110253529	0.0014622836738668044
HARPS.2010-03-23T08.58.22.901	2455278.87623	-0.0012569161293018312	-0.01167590928074469
HARPS.2010-03-24T05.24.30.669	2455279.72777	-0.0006917252179948459	-0.010605382486035708
HARPS.2010-03-24T05.25.38.172	2455279.72855	-0.0011843008150703115	0.005674528349496333
HARPS.2010-03-24T05.26.45.176	2455279.72933	-0.001395054394791412	-0.0005022252592767895
HARPS.2010-03-24T05.27.52.150	2455279.7301	-0.0017864581599663445	-0.003858513221830062
HARPS.2010-03-24T05.28.58.903	2455279.73087	-0.0018401590980339888	-0.012925509922118383
HARPS.2010-03-24T05.30.05.927	2455279.7316400004	-0.001427147681889403	-0.005951388202582564
HARPS.2010-03-24T05.31.11.902	2455279.73241	-0.0002891597855048414	-0.016906930210101367
HARPS.2010-03-24T05.32.18.895	2455279.73318	-9.794253620623422e-05	-0.017023295684105433
HARPS.2010-03-24T05.33.25.909	2455279.73396	-0.0007177214263767175	0.032208488273253066
HARPS.2010-03-24T05.34.32.913	2455279.73473	-0.0024748253173409213	-0.012346002309179482
HARPS.2010-03-24T05.35.40.186	2455279.73552	-0.0008768587802987252	-0.030418949351317393
HARPS.2010-03-24T05.36.47.171	2455279.7363	-3.82386698513547e-05	-0.039447463440557606
HARPS.2010-03-24T05.37.54.164	2455279.7370700003	-0.0012001695970853966	-0.017780070946910365
HARPS.2010-03-24T05.39.00.939	2455279.73784	-0.00035967720331743773	0.007941210402768739
HARPS.2010-03-24T07.28.42.928	2455279.81402	-0.002811593524201533	-0.003700557141222083
HARPS.2010-03-24T07.27.36.444	2455279.81326	-0.004237339653755741	-0.02371183518583697
HARPS.2010-03-24T07.29.49.912	2455279.8148	-0.0029810450686015718	-0.00956979090679222
HARPS.2010-03-24T07.30.56.906	2455279.81557	-0.0022093923026762705	-0.024639669157240474
HARPS.2010-03-24T07.32.03.919	2455279.81635	-0.0004982102904552184	-0.004400149666119013
HARPS.2010-03-24T07.33.10.923	2455279.8171200003	-0.0014963011410402632	-0.035466142082276386
HARPS.2010-03-24T07.34.16.917	2455279.81789	-0.0005997670316648656	-0.02286224761327793
HARPS.2010-03-24T07.36.31.445	2455279.81945	-0.001897076152677437	-0.03876361196402156
HARPS.2010-03-24T07.35.23.990	2455279.81866	-0.0018133527517364835	0.006134476751644469
HARPS.2010-03-24T07.37.38.178	2455279.82023	-0.0011433598594127506	-0.010976110370761516
HARPS.2010-03-24T07.38.44.902	2455279.82099	-0.0005537113396883828	0.014817791376311562
HARPS.2010-03-24T07.40.58.900	2455279.82254	-0.00251798065003951	0.020831148059113014
HARPS.2010-03-24T09.18.03.077	2455279.88996	-0.0016798636885858454	0.011735352379813713
HARPS.2010-03-24T07.42.05.904	2455279.82332	-0.0002945040491031189	-0.015952124857003702
HARPS.2010-03-24T09.19.09.911	2455279.89073	-0.0003257240984542505	0.0025608099251737126
HARPS.2010-03-24T09.20.15.885	2455279.8914900003	0.0004935399910998843	0.021484636138814794
HARPS.2010-03-24T09.21.22.908	2455279.89227	0.00015198148786046322	-0.03373366837675673
HARPS.2010-03-24T09.22.29.912	2455279.89304	-0.0006800603783786567	-0.04740208679672764
HARPS.2010-03-24T09.24.43.910	2455279.89459	-0.0027368644914065924	-0.012324601567509585
HARPS.2010-03-24T09.25.51.183	2455279.89538	-0.0011679783074812677	-0.011052804646107806
HARPS.2010-03-24T09.23.36.916	2455279.89382	-0.0003138626754922053	0.008922870288741502
HARPS.2010-03-24T09.26.58.107	2455279.89616	-1.0044900988410001e-05	0.00921923645111311
HARPS.2010-03-24T09.28.05.091	2455279.89693	-0.0006633457466026348	-0.0018039181868221288
HARPS.2010-03-24T09.29.11.895	2455279.8977	0.00011712226210402375	-0.024183052133215255
HARPS.2010-03-24T09.30.18.919	2455279.89847	-0.0022346532745210214	-0.029506695620184487
HARPS.2010-03-24T09.32.32.927	2455279.90002	-0.0008910228883215079	-0.006074131423479789
HARPS.2010-03-24T09.31.25.912	2455279.89925	-0.000351669558165219	-0.0025800987945066023
HARPS.2010-03-25T05.22.55.184	2455280.72673	-0.0003090886847478281	-0.007317519826358643
