filename	bjd	ew	asym	
HARPS.2010-03-23T05.35.06.938	2455278.73507	-0.004439215284806474	0.017267185646673067
HARPS.2010-03-23T05.38.26.910	2455278.73738	-0.003726266900568648	0.033984183815279234
HARPS.2010-03-23T05.42.52.925	2455278.74046	-0.005307543791345693	-0.008215833282718688
HARPS.2010-03-23T05.37.20.175	2455278.73662	-0.004231550882245499	0.006305652555950836
HARPS.2010-03-23T05.40.39.918	2455278.73892	-0.002466019401376876	-0.002132189586842026
HARPS.2010-03-23T05.41.46.922	2455278.7397	-0.0028534716393414632	-0.004159373461060767
HARPS.2010-03-23T05.34.00.274	2455278.7343	-0.002389343196162555	0.02325766371663529
HARPS.2010-03-23T05.39.33.014	2455278.73816	-0.0041406788687898995	-0.014925304764360936
HARPS.2010-03-23T05.43.59.899	2455278.7412400004	-0.004161538542707805	0.011519875055167272
HARPS.2010-03-23T05.45.06.973	2455278.74201	-0.0028252747759678	0.016684235167090833
HARPS.2010-03-23T05.46.14.177	2455278.7428	-0.0056385460974724836	-0.00746005765478297
HARPS.2010-03-23T05.48.27.925	2455278.74434	-0.002549214322853676	0.006314064627189975
HARPS.2010-03-23T07.05.53.762	2455278.79811	-0.003868708998889545	-0.013228047997710934
HARPS.2010-03-23T05.47.21.191	2455278.74357	-0.003914435763082749	-0.006127644646754193
HARPS.2010-03-23T07.07.00.166	2455278.79889	-0.0030857179176139713	0.014133097505890646
HARPS.2010-03-23T07.08.07.090	2455278.79966	-0.004996490348549636	-0.008287909218563927
HARPS.2010-03-23T07.09.13.914	2455278.80043	-0.004412992324455891	0.0019319885516222435
HARPS.2010-03-23T07.10.20.928	2455278.8012	-0.0024501986212981555	0.006803323036446374
HARPS.2010-03-23T07.11.27.932	2455278.80198	-0.0033541470078784375	-0.009431472895114368
HARPS.2010-03-23T07.12.34.916	2455278.80276	-0.005768458024678009	-0.005878786550711723
HARPS.2010-03-23T07.15.55.087	2455278.80508	-0.0029049643746746553	0.012819815014910363
