filename	bjd	ew	asym	
HARPS.2010-03-26T07.36.16.044	2455281.8194	-0.11601431763744316	-1.1303904927197728
HARPS.2010-03-25T05.35.56.040	2455280.73577	-0.044983973086280646	-0.4487991319836444
HARPS.2010-03-29T03.55.10.979	2455284.66602	-0.14272618172241167	-1.3759001153887256
HARPS.2010-03-24T05.27.52.150	2455279.7301	-0.10062182681430411	-1.0031405548598866
HARPS.2010-03-28T05.44.51.983	2455283.74214	0.007540222748683978	0.08184015280481205
HARPS.2010-03-27T05.48.01.079	2455282.74428	-0.06539390016431337	-0.6679388628652145
HARPS.2010-03-23T05.34.00.274	2455278.7343	-0.09845330756984708	-0.9760326992051009
HARPS.2010-04-01T05.46.06.891	2455287.74324	-0.12469353061390646	-1.21807963271802
HARPS.2010-04-03T04.54.51.313	2455289.70775	-0.08507684394737701	-0.8733912912283414
HARPS.2010-04-02T03.33.35.362	2455288.65126	-0.02785812912921674	-0.26484883636977297
HARPS.2010-04-04T03.43.45.413	2455290.65843	0.0016389712969032016	0.015059489523108871
HARPS.2010-04-05T07.07.37.652	2455291.80006	-0.06426297510281095	-0.6428540637218124
HARPS.2010-04-08T03.04.16.162	2455294.63121	0.02713852507084068	-0.2253054535702712
HARPS.2010-04-06T02.57.34.551	2455292.62646	-0.055163163323341834	-0.5497777170417972
HARPS.2010-04-07T02.56.54.613	2455293.62605	0.008411552854144294	0.08647033870285736
HARPS.2010-04-09T02.40.20.683	2455295.6146400003	0.03792913775392548	0.2946814015533774
HARPS.2010-04-10T02.39.59.561	2455296.61444	-0.06420064192633188	-0.6600261960576566
HARPS.2010-04-11T09.18.39.649	2455297.89136	0.030076519421343886	0.25600648038093243
HARPS.2010-04-13T02.17.48.197	2455299.59918	0.01595035364341501	0.14845592733749124
HARPS.2010-04-29T06.43.23.145	2455315.78425	-0.34428738408261583	-2.7093451814001392
HARPS.2010-04-14T06.17.22.603	2455300.76559	-0.03420616458349067	-0.334447666678084
HARPS.2010-04-12T02.17.11.281	2455298.5987	0.046726497495798006	0.3494984176721494
HARPS.2010-04-18T02.53.13.135	2455304.62398	-0.22828257160641297	-2.1081783221523294
HARPS.2010-04-19T05.35.00.771	2455305.73637	-0.19877783001029592	-1.8214287437250667
HARPS.2010-05-05T02.18.20.611	2455321.60026	-0.2582020252786394	-2.278297539863082
HARPS.2010-05-04T02.12.06.850	2455320.59597	-0.26163662854670483	-2.33945582278601
HARPS.2010-05-06T02.02.13.623	2455322.5890900004	-0.30202402562901914	-2.5913872996236416
HARPS.2010-05-09T01.19.36.905	2455325.5595400003	-0.21941061931546282	-2.0182915287781378
HARPS.2010-05-08T01.30.42.455	2455324.56724	-0.16083246856035888	-1.5471924190503694
HARPS.2010-05-07T01.53.50.533	2455323.58329	-0.6575440957329037	-4.661043170519241
HARPS.2010-05-10T01.37.52.500	2455326.57224	-0.08778432910936135	-0.8789329780165851
HARPS.2010-05-11T01.47.43.637	2455327.5791	-0.01714258190355444	-0.1529191384009292
HARPS.2010-05-18T02.12.14.458	2455334.59618	0.03497085984739548	0.2532353390362465
HARPS.2010-05-12T01.18.17.967	2455328.55867	-0.13201410794147053	-1.2706614849184656
HARPS.2010-05-19T02.03.20.036	2455335.59001	-0.030648774493228673	-0.29491297893177015
HARPS.2010-05-22T02.40.22.034	2455338.61573	-0.16049610283544935	-1.5193922113893994
HARPS.2010-05-24T02.58.02.537	2455340.62799	-0.33101545313291564	-2.6225435632928344
HARPS.2010-05-25T02.45.22.940	2455341.61919	-0.09753692490789342	-0.9794297124908485
HARPS.2010-05-26T01.06.03.456	2455342.55029	-0.2680622771204128	-2.4062313759472924
HARPS.2010-06-01T23.11.51.057	2455349.4709	-0.36371925410814127	-1.2934506023363377
HARPS.2010-06-04T01.57.08.097	2455351.5855900003	-0.34027976206625604	-2.381643381144068
HARPS.2010-06-02T02.21.22.055	2455349.60251	-0.31725818447601745	-1.3230960040404907
HARPS.2010-06-05T02.31.22.873	2455352.60935	-0.2850262183701865	-1.8793550688066163
HARPS.2010-06-03T03.30.16.543	2455350.65034	-0.30233192828175964	-1.96229803478408
HARPS.2010-06-07T01.43.47.236	2455354.5762400003	-0.33697358350200485	-2.834952216643063
HARPS.2010-06-08T02.06.08.307	2455355.59176	-0.1935731665580448	-1.8236630560729379
HARPS.2010-06-11T04.59.34.184	2455358.71221	-0.3654897035652995	-2.904676495278577
HARPS.2010-06-06T02.00.12.979	2455353.58768	-0.38344085303593645	-2.582996617783502
HARPS.2010-06-12T01.01.37.284	2455359.5468900003	-0.010882128509822115	-0.08594561210671747
