filename	bjd	ew	asym	
HARPS.2010-06-01T23.11.51.057	2455349.4709	0.014832395909491525	-0.1584724896490035
HARPS.2010-06-04T23.08.11.865	2455352.46825	-0.08694951781196521	-0.019771256338577903
HARPS.2010-06-03T23.20.40.541	2455351.47697	-0.01912585420726282	-0.056570797600236644
HARPS.2010-06-02T05.48.50.103	2455349.74658	0.010265371245775118	-0.13661259907570034
HARPS.2010-06-07T23.10.34.877	2455355.46985	-0.1839730509221019	-0.00454371363283701
HARPS.2010-06-05T23.01.12.868	2455353.46338	-0.14981416091905655	-0.010984762716032437
HARPS.2010-06-06T22.52.26.332	2455354.45727	-0.19107088979376516	-0.010652939372054249
HARPS.2010-06-08T05.04.04.255	2455355.71533	-0.11471958996902099	-0.006447527286462362
HARPS.2010-06-11T22.54.41.879	2455359.45876	-0.08122284730663536	-0.0072942928649002425
HARPS.2010-06-12T01.01.37.284	2455359.5468900003	-0.07055258132204219	0.013028926611348357
