filename	bjd	ew	asym	
HARPS.2010-06-01T23.11.51.057	2455349.4709	-0.026334493666356627	-0.019237974800404123
HARPS.2010-06-04T23.08.11.865	2455352.46825	-0.10631032022067852	0.018875791461911984
HARPS.2010-06-03T23.20.40.541	2455351.47697	-0.06174466256100478	0.01488456107882885
HARPS.2010-06-02T05.48.50.103	2455349.74658	-0.033491962320999664	-0.005132393226788823
HARPS.2010-06-07T23.10.34.877	2455355.46985	-0.14425628825740802	0.006672752188344289
HARPS.2010-06-05T23.01.12.868	2455353.46338	-0.18127400880755123	-0.005440510988414804
HARPS.2010-06-06T22.52.26.332	2455354.45727	-0.17698409108916607	0.0055070084107078365
HARPS.2010-06-08T05.04.04.255	2455355.71533	-0.17763933028239462	-0.005833778473562479
HARPS.2010-06-11T22.54.41.879	2455359.45876	-0.17653390017298828	-0.005321438058959238
HARPS.2010-06-12T01.01.37.284	2455359.5468900003	-0.1598012996816758	0.005438153041083527
