filename	bjd	ew	asym	
HARPS.2010-06-01T23.11.51.057	2455349.4709	-0.008151682310931468	-0.12711269479570275
HARPS.2010-06-04T23.08.11.865	2455352.46825	-0.016851058824840753	-0.08573076168929628
HARPS.2010-06-03T23.20.40.541	2455351.47697	-0.010717509197441254	-0.10540104126730798
HARPS.2010-06-02T05.48.50.103	2455349.74658	-0.01074715862464297	-0.12330268394922006
HARPS.2010-06-07T23.10.34.877	2455355.46985	-0.02547727782858919	-0.057333149526086924
HARPS.2010-06-05T23.01.12.868	2455353.46338	-0.036978202125712366	-0.02045024167767928
HARPS.2010-06-06T22.52.26.332	2455354.45727	-0.029686910350346325	-0.04725479997990245
HARPS.2010-06-08T05.04.04.255	2455355.71533	-0.03224088419516702	-0.010529185531024887
HARPS.2010-06-11T22.54.41.879	2455359.45876	-0.03219598014676898	0.00143366330111383
HARPS.2010-06-12T01.01.37.284	2455359.5468900003	-0.008484567218859266	0.020006605163427227
