filename	bjd	ew	asym	
HARPS.2010-03-23T05.35.06.938	2455278.73507	-0.0007067573357912016	-0.014368291100498642
HARPS.2010-03-23T05.38.26.910	2455278.73738	-0.0005069617844972265	-0.0131961125738288
HARPS.2010-03-23T05.42.52.925	2455278.74046	-3.848949699935248e-05	-0.009953603499911923
HARPS.2010-03-23T05.37.20.175	2455278.73662	-0.0008488580123154433	-0.0116239743815717
HARPS.2010-03-23T05.40.39.918	2455278.73892	-0.0008647847915639411	-0.013478479174235725
HARPS.2010-03-23T05.34.00.274	2455278.7343	-0.0011228462611266295	-0.006892101636747694
HARPS.2010-03-23T05.41.46.922	2455278.7397	-0.0006891665357035842	-0.010676405554646218
HARPS.2010-03-23T05.39.33.014	2455278.73816	-0.0011436646178295022	-0.01409604007244114
HARPS.2010-03-23T05.43.59.899	2455278.7412400004	-0.0014229724880610633	-0.012397741650918226
HARPS.2010-03-23T05.45.06.973	2455278.74201	-0.0003595778564328862	-0.008786683331332479
HARPS.2010-03-23T05.46.14.177	2455278.7428	-0.0009415536412329151	-0.0119954162577246
HARPS.2010-03-23T05.48.27.925	2455278.74434	-0.0004995994592320084	-0.010770888763426023
HARPS.2010-03-23T07.05.53.762	2455278.79811	-0.0007150246756059741	-0.009462024619169562
HARPS.2010-03-23T05.47.21.191	2455278.74357	-0.0004042636812161887	-0.010093496167592475
HARPS.2010-03-23T07.07.00.166	2455278.79889	-6.965925588241795e-05	-0.007453268429745585
HARPS.2010-03-23T07.08.07.090	2455278.79966	-0.0005745498399012662	-0.013647426355112069
HARPS.2010-03-23T07.09.13.914	2455278.80043	-0.0005917321927322867	-0.00751039863384928
HARPS.2010-03-23T07.10.20.928	2455278.8012	-0.0010745211936416745	-0.009761362160942477
HARPS.2010-03-23T07.11.27.932	2455278.80198	-0.0008806143965062493	-0.00940677599857831
HARPS.2010-03-23T07.12.34.916	2455278.80276	-0.0008006275074410496	-0.00914085509840179
HARPS.2010-03-23T07.15.55.087	2455278.80508	-0.0006870990619034399	-0.013251475405478108
HARPS.2010-03-23T07.14.48.923	2455278.80431	-0.0007853684266935569	-0.014056686557994857
HARPS.2010-03-23T07.17.02.171	2455278.80586	-0.0001618094678245226	-0.008910941711600784
HARPS.2010-03-23T07.13.41.910	2455278.80353	-0.0011089978680088417	-0.007107972368799453
HARPS.2010-03-23T07.18.09.095	2455278.80663	-0.0007429375512742707	-0.012515995068356545
HARPS.2010-03-23T07.19.15.939	2455278.8074	-0.0003580832293302047	-0.011250789554897334
HARPS.2010-03-23T07.20.21.932	2455278.80816	-0.0013071127870040908	-0.008908627914998135
HARPS.2010-03-23T08.47.13.212	2455278.8684900003	-0.00013724060765220374	-0.01122798509003009
HARPS.2010-03-23T08.48.19.916	2455278.86925	0.0004402684462043774	-0.011410543015039742
HARPS.2010-03-23T08.50.33.934	2455278.8708	0.0005952627054934197	-0.012431848970781423
HARPS.2010-03-23T08.51.40.917	2455278.87158	-0.0003395176088887726	-0.008709238147145748
HARPS.2010-03-23T08.49.26.920	2455278.87003	-0.0007886918429428719	-0.010978508751121718
HARPS.2010-03-23T08.52.47.912	2455278.87235	9.742927831516432e-06	-0.009967092626478324
HARPS.2010-03-23T08.53.54.925	2455278.87313	-0.0010144059619692006	-0.009309934246506057
HARPS.2010-03-23T08.55.01.930	2455278.87391	-0.0010428035538923074	-0.00932094462764499
HARPS.2010-03-23T08.56.09.203	2455278.87469	-0.0006935399561353434	-0.008620319805603294
HARPS.2010-03-23T08.57.16.097	2455278.87547	-0.0006972498803753003	-0.01609197324473577
HARPS.2010-03-23T08.58.22.901	2455278.87623	-0.001029851562242651	-0.010287937631599298
HARPS.2010-03-23T08.59.29.904	2455278.87701	-0.0006722713903850268	-0.009569201642141478
HARPS.2010-03-24T05.24.30.669	2455279.72777	-0.0006621147674773409	-0.014577692117504482
HARPS.2010-03-24T05.25.38.172	2455279.72855	-0.0001220923270499638	-0.01783749513961319
HARPS.2010-03-24T05.26.45.176	2455279.72933	-0.00036946578711104835	-0.013451889792316485
HARPS.2010-03-24T05.27.52.150	2455279.7301	-0.0007765483299830346	-0.01510825077998501
HARPS.2010-03-24T05.28.58.903	2455279.73087	-0.0001463772154790528	-0.014400038555462569
HARPS.2010-03-24T05.30.05.927	2455279.7316400004	0.00017092622743878342	-0.015290210675885985
HARPS.2010-03-24T05.31.11.902	2455279.73241	-0.0003402553176544286	-0.011950784700439199
HARPS.2010-03-24T05.32.18.895	2455279.73318	0.001009177096887051	-0.016750110564982434
HARPS.2010-03-24T05.33.25.909	2455279.73396	5.060429507841587e-06	-0.016143273944137393
HARPS.2010-03-24T05.34.32.913	2455279.73473	-0.0004929721203620616	-0.013794242099948173
HARPS.2010-03-24T05.35.40.186	2455279.73552	-0.0011611153679301392	-0.014871754548265392
HARPS.2010-03-24T05.36.47.171	2455279.7363	0.00030223034733188137	-0.0166692857753038
HARPS.2010-03-24T05.37.54.164	2455279.7370700003	0.00029628260564353487	-0.01135515359252337
HARPS.2010-03-24T07.27.36.444	2455279.81326	-5.7196178052377495e-05	-0.011683532676039943
HARPS.2010-03-24T05.39.00.939	2455279.73784	-0.00019279137579682705	-0.015160295062953355
HARPS.2010-03-24T07.28.42.928	2455279.81402	-0.000457046844080394	-0.009138364850626579
HARPS.2010-03-24T07.29.49.912	2455279.8148	-0.0008912399266743557	-0.013015144911195153
HARPS.2010-03-24T07.30.56.906	2455279.81557	-0.00016718681232004675	-0.009124340146264509
HARPS.2010-03-24T07.32.03.919	2455279.81635	-6.828145486503357e-05	-0.00869379024309258
HARPS.2010-03-24T07.33.10.923	2455279.8171200003	-0.0009001707750387462	-0.014672462623869897
HARPS.2010-03-24T07.34.16.917	2455279.81789	-3.3555847481958206e-05	-0.010288470148054785
HARPS.2010-03-24T07.35.23.990	2455279.81866	0.0005767713018380707	-0.015782783430632663
HARPS.2010-03-24T07.37.38.178	2455279.82023	-6.24811973092214e-05	-0.01242680656460149
HARPS.2010-03-24T07.36.31.445	2455279.81945	0.0006706854454811427	-0.010305279249789967
HARPS.2010-03-24T07.38.44.902	2455279.82099	0.00030023099639808434	-0.015224516170242897
HARPS.2010-03-24T07.40.58.900	2455279.82254	0.0006491173929188863	-0.011247950214101632
HARPS.2010-03-24T07.42.05.904	2455279.82332	-0.00012047491478041365	-0.009648077019487444
HARPS.2010-03-24T09.18.03.077	2455279.88996	0.00016287956425929833	-0.013068007072885912
HARPS.2010-03-24T09.19.09.911	2455279.89073	-0.0004289983210725239	-0.015971922187583476
HARPS.2010-03-24T09.20.15.885	2455279.8914900003	0.00024183860230661406	-0.016175838654050145
HARPS.2010-03-24T09.21.22.908	2455279.89227	-0.0002786051410294324	-0.01349417729691793
HARPS.2010-03-24T09.22.29.912	2455279.89304	4.7124711134703124e-05	-0.014855801824443238
HARPS.2010-03-24T09.23.36.916	2455279.89382	-0.00045830996949023305	-0.015112262537580134
HARPS.2010-03-24T09.24.43.910	2455279.89459	-0.0007865400870233045	-0.01421472949383129
HARPS.2010-03-24T09.25.51.183	2455279.89538	-0.00028681079503373164	-0.014541178334919747
HARPS.2010-03-24T09.26.58.107	2455279.89616	0.0002972296297116574	-0.012176489653904277
HARPS.2010-03-24T09.28.05.091	2455279.89693	-0.0006865095495277513	-0.014662420305884716
HARPS.2010-03-24T09.29.11.895	2455279.8977	0.0005166721603967391	-0.017343960744787723
HARPS.2010-03-24T09.31.25.912	2455279.89925	0.00014278933567708887	-0.012914820489953183
HARPS.2010-03-24T09.30.18.919	2455279.89847	0.00014660992442808458	-0.0170097801528154
HARPS.2010-03-25T05.22.55.184	2455280.72673	-6.521314823445317e-05	-0.009160441732673608
HARPS.2010-03-24T09.32.32.927	2455279.90002	0.0006768971702640738	-0.01443255949841582
HARPS.2010-03-25T05.24.01.948	2455280.72749	-0.00042466537490371475	-0.010116166076691857
HARPS.2010-03-25T05.26.16.057	2455280.72905	-0.00016182640255138158	-0.013769240271776728
HARPS.2010-03-25T05.25.08.902	2455280.72827	0.0002728841726828839	-0.008634535633550877
HARPS.2010-03-25T05.27.00.399	2455280.72956	-7.768975310672098e-05	-0.012082393358634924
HARPS.2010-03-25T05.28.07.023	2455280.73034	4.4481932385026257e-08	-0.012390231836663324
HARPS.2010-03-25T05.29.13.916	2455280.7311	-0.00027138255299161596	-0.01351689291536673
HARPS.2010-03-25T05.30.20.900	2455280.73188	0.00014925000595249077	-0.012824203961716352
HARPS.2010-03-25T05.31.27.994	2455280.73265	-0.000551662773002426	-0.012156146697742232
HARPS.2010-03-25T05.32.35.048	2455280.73344	4.6757853959740195e-05	-0.009322364133324434
HARPS.2010-03-25T05.34.48.926	2455280.73498	-0.00028961079566028656	-0.010593977707220481
HARPS.2010-03-25T05.33.42.032	2455280.73422	-0.00015759931911929793	-0.008555554095722062
HARPS.2010-03-25T05.35.56.040	2455280.73577	-0.0003436079659935656	-0.010881702993179254
HARPS.2010-03-25T05.37.03.054	2455280.73654	-0.0007023876295566838	-0.00936090746595053
HARPS.2010-03-25T07.43.28.622	2455280.8243400003	0.000566303342646558	-0.011342331687342111
HARPS.2010-03-25T07.44.34.906	2455280.8251	0.0007330149145654161	-0.01405451245107836
HARPS.2010-03-25T07.45.42.040	2455280.82589	0.0006446878398023791	-0.01084094126791113
HARPS.2010-03-25T07.46.49.034	2455280.82666	-1.4684100704917802e-05	-0.008067708996282397
HARPS.2010-03-25T07.47.56.038	2455280.82744	4.84029259476222e-05	-0.011254245528708129
HARPS.2010-03-25T07.49.02.912	2455280.8282	-0.0007103954071063976	-0.010535753480154342
HARPS.2010-03-25T07.50.09.915	2455280.82898	-7.28600746790452e-05	-0.014241602187359925
HARPS.2010-03-25T07.51.17.129	2455280.82977	6.54073076217617e-05	-0.011836579998224517
HARPS.2010-03-25T07.52.24.011	2455280.83054	-0.0005961454786809078	-0.014520172246093588
HARPS.2010-03-25T07.53.31.057	2455280.83132	0.00025921809845820933	-0.012294747752040203
HARPS.2010-03-25T07.54.37.911	2455280.83208	-7.74329992842485e-05	-0.013478751211788986
HARPS.2010-03-25T07.55.44.995	2455280.83286	-9.154545595244621e-05	-0.010089488522981083
HARPS.2010-03-25T07.57.59.033	2455280.83442	8.89171414462917e-05	-0.011900517335166949
HARPS.2010-03-25T07.56.52.059	2455280.8336400003	9.496128465946672e-05	-0.010226269985196157
HARPS.2010-03-25T09.26.47.531	2455280.89609	-0.0007800807680469213	-0.010148934780778385
HARPS.2010-03-25T09.27.55.384	2455280.89688	-0.0005991112006333203	-0.010382250138768034
HARPS.2010-03-25T09.29.01.918	2455280.89764	-0.00015852001531062185	-0.012225375636111924
HARPS.2010-03-25T09.30.08.912	2455280.89842	5.968745778253705e-05	-0.01007598697424228
HARPS.2010-03-25T09.31.15.966	2455280.8991900003	-0.0007362992007195855	-0.013403888687535281
HARPS.2010-03-25T09.32.23.040	2455280.89998	-1.538634124468581e-05	-0.009664560581208348
HARPS.2010-03-25T09.34.36.898	2455280.9015200003	-0.0003386416929817185	-0.014123368625398869
HARPS.2010-03-25T09.33.30.044	2455280.90075	-0.0016625780730856762	-0.009414323525757773
HARPS.2010-03-25T09.35.43.992	2455280.90229	-0.0004445111678723162	-0.009853273225772341
HARPS.2010-03-25T09.36.51.045	2455280.90308	-2.722606100849916e-05	-0.010063819879441827
HARPS.2010-03-25T09.37.58.040	2455280.90386	-0.0003779937302419498	-0.007101498778316229
HARPS.2010-03-25T09.39.05.254	2455280.90463	-2.2509317945907145e-05	-0.008026611986415078
HARPS.2010-03-26T05.24.32.997	2455281.72791	-8.239149532852854e-05	-0.014082916628753162
HARPS.2010-03-26T05.25.40.041	2455281.7287	-0.00020146178523730996	-0.009645844189213548
HARPS.2010-03-26T05.26.47.044	2455281.72947	-0.0005878724239048779	-0.011292784106062492
HARPS.2010-03-26T05.27.54.039	2455281.73025	-0.00012806152631261828	-0.01305677736873423
HARPS.2010-03-26T05.29.00.912	2455281.73101	-0.00034520733526108695	-0.006465059965245712
HARPS.2010-03-26T05.30.07.906	2455281.73179	0.00015598964547886937	-0.010165055127639766
HARPS.2010-03-26T05.31.14.960	2455281.73256	-0.000499860328798193	-0.00892198495823171
HARPS.2010-03-26T05.32.22.044	2455281.73335	0.00035781601979323715	-0.009190898038751283
HARPS.2010-03-26T05.33.29.058	2455281.73413	-0.0002407499405124716	-0.011721023585089307
HARPS.2010-03-26T05.34.35.912	2455281.73489	-0.0005801425194661994	-0.015047455347388605
HARPS.2010-03-26T05.35.43.056	2455281.73568	-0.0004338480128432017	-0.011758103407679465
