# wavelength	depth
5030.14	0.02119
5035.19	0.02121
5035.21	0.02316
5035.36	0.02370
5035.94	0.02164
5036.09	0.02156
5036.40	0.02987
5036.44	0.02394
5037.99	0.05337
5038.42	0.05163
5038.96	0.02379
5038.98	0.02373
5039.54	0.02061
5042.08	0.02222
5042.58	0.03013
5042.80	0.02316
5043.59	0.03044
5043.77	0.04250
5044.64	0.04068
5053.06	0.02573
5053.08	0.02392
5057.09	0.02852
5057.12	0.03809
5058.27	0.05777
5058.91	0.02374
5058.93	0.02306
5060.69	0.03906
5066.59	0.02698
5066.63	0.04646
5067.75	0.02292
5067.88	0.04165
5072.91	0.02005
5073.56	0.05121
5077.15	0.04202
5078.13	0.02454
5079.22	0.02049
5079.76	0.02038
5079.80	0.03963
5084.49	0.02658
5087.03	0.02118
5087.29	0.02232
5087.32	0.02682
5413.83	0.02228
5415.09	0.03198
5423.68	0.02391
5436.32	0.02317
5457.11	0.02597
5463.17	0.02487
5682.53	0.02160
5684.57	0.02290
5684.63	0.03493
5686.19	0.03123
5688.24	0.06675
5690.35	0.03610
5691.20	0.04740
5693.19	0.06069
5696.72	0.02139
5698.94	0.04386
5700.09	0.04895
5701.49	0.05528
5712.15	0.02030
5718.27	0.03486
5719.71	0.02443
5720.34	0.04838
5722.70	0.02867
5722.73	0.02973
5724.66	0.02399
5727.64	0.03764
5730.44	0.03425
5736.33	0.02471
5738.45	0.05321
5742.98	0.03015
5746.56	0.04468
5754.98	0.02397
5755.02	0.02113
5762.38	0.02050
5764.17	0.02140
5860.39	0.02331
5860.43	0.02105
5871.43	0.03984
5872.08	0.02247
5876.38	0.03449
5876.91	0.05432
5877.24	0.04037
5880.39	0.04822
5880.51	0.05270
5881.51	0.03074
5881.54	0.02918
5881.73	0.05287
5881.89	0.04122
5882.66	0.05735
5882.77	0.04438
5883.60	0.04451
5883.78	0.03049
5883.82	0.03079
5883.87	0.02277
5884.69	0.13183
5885.00	0.03353
5886.44	0.03249
5886.77	0.19795
5887.13	0.07357
5887.47	0.04016
5888.02	0.16298
5888.45	0.12914
5888.65	0.02560
5889.51	0.08518
5890.43	0.14857
5890.88	0.13394
5891.00	0.03112
5891.94	0.03191
5892.28	0.04568
5892.45	0.19403
5893.19	0.14274
5893.84	0.07459
5894.30	0.07477
5895.18	0.04927
5895.75	0.04222
5895.91	0.03104
5895.93	0.02948
5897.28	0.07471
5897.63	0.10412
5898.25	0.05240
5898.73	0.02658
5898.95	0.19893
5899.80	0.10224
5900.72	0.09822
5900.83	0.20355
5901.71	0.02937
5902.03	0.03977
5902.26	0.26439
5902.93	0.06626
5904.33	0.06405
5904.65	0.02291
5904.67	0.02324
5905.91	0.02620
5906.09	0.04500
5906.12	0.03908
5906.15	0.03086
5908.07	0.05519
5908.17	0.02567
5908.27	0.02672
5908.63	0.06398
5909.00	0.06309
5909.79	0.13050
5910.25	0.02329
5910.99	0.05762
5911.08	0.02332
5911.12	0.02071
5911.28	0.02092
5911.44	0.02510
5911.56	0.10927
5912.81	0.02135
5913.49	0.03454
5913.79	0.11130
5914.99	0.08471
5915.73	0.05902
5916.23	0.07333
5916.42	0.06264
5917.37	0.03194
5917.39	0.03146
5918.19	0.03632
5919.22	0.15374
5919.85	0.20907
5920.44	0.26235
5921.36	0.07888
5921.96	0.02340
5923.16	0.03203
5923.31	0.11642
5923.51	0.03359
5923.98	0.02466
5924.44	0.10015
5924.63	0.13137
5925.07	0.18022
5925.79	0.10780
5929.09	0.11763
5929.92	0.02804
5931.41	0.02095
5932.89	0.18871
5933.58	0.11010
5934.88	0.02630
5935.99	0.02199
5936.61	0.06160
5938.85	0.04898
5940.76	0.03371
5941.22	0.08601
5941.67	0.03838
5941.88	0.23467
5942.00	0.02868
5942.05	0.02990
5942.43	0.17720
5943.07	0.02123
5943.10	0.02059
5943.22	0.11387
5943.37	0.22361
5945.12	0.10259
5945.54	0.08393
5946.08	0.04620
5946.10	0.04748
5946.45	0.08468
5946.81	0.20562
5947.65	0.10537
5947.86	0.18666
5949.01	0.02404
5949.03	0.02459
5949.56	0.02892
5949.98	0.17816
5950.47	0.02242
5950.62	0.07338
5950.95	0.02360
5951.14	0.05914
5951.77	0.02480
5952.30	0.06960
5955.76	0.10542
5957.16	0.05843
5957.58	0.04118
5958.69	0.13985
5959.06	0.08930
5959.44	0.12564
5960.79	0.03605
5962.25	0.02890
5963.27	0.05895
5965.74	0.02276
5965.76	0.02278
5967.14	0.03861
5967.47	0.10038
5968.12	0.02215
5968.47	0.02489
5968.64	0.11563
5968.85	0.02112
5969.08	0.12825
5969.20	0.02461
5969.84	0.05767
5970.86	0.07390
5972.15	0.11005
5975.90	0.09569
5975.92	0.09717
5975.99	0.05612
5977.33	0.03400
5977.84	0.10276
5978.26	0.02461
5978.60	0.06420
5980.96	0.02632
5982.02	0.03001
5986.03	0.06943
5987.82	0.03211
5987.84	0.03362
5989.36	0.04373
