filename	bjd	rv	rvc	logS
HARPS.2005-02-12T08:08:50.993	2453413.8388	-21.799630415	-0.007453974641837391	-1.3382557447799999
HARPS.2005-02-12T08:09:42.267	2453413.8394	-21.8004515786	-0.00827486257035659	-1.3376824643
HARPS.2005-02-12T08:10:35.042	2453413.84002	-21.8006600221	-0.008483030398874547	-1.33785926447
HARPS.2005-02-12T08:16:13.986	2453413.8440400003	-21.799807834099997	-0.007628994654883314	-1.33806923514
HARPS.2005-02-12T08:16:55.040	2453413.84453	-21.8005020562	-0.008322985786886505	-1.3395417424
HARPS.2005-02-12T08:17:38.314	2453413.84503	-21.800495607	-0.008316290717726105	-1.33888610919
HARPS.2005-04-08T07:51:48.137	2453468.8309	-21.812299663	0.0052630959225759	-1.32792425786
HARPS.2005-04-08T07:53:12.486	2453468.83187	-21.8145458618	0.003017336706832907	-1.32528628391
HARPS.2006-01-09T08:52:24.701	2453744.86704	-21.9528445893	-0.007068521625839708	-1.36963603887
HARPS.2006-01-09T08:53:07.845	2453744.86754	-21.952460251999998	-0.006683938456678362	-1.37067801049
HARPS.2006-01-09T08:53:52.700	2453744.86806	-21.952714276	-0.006937731488680043	-1.37270215974
HARPS.2006-02-12T07:59:30.496	2453778.8325799997	-21.9645239175	-0.002868211332778259	-1.37618291335
HARPS.2006-02-12T08:00:15.241	2453778.8331	-21.9648848185	-0.0032288664636190845	-1.3746346567200003
HARPS.2006-02-12T08:01:00.425	2453778.83362	-21.965118391599997	-0.0034621862438761752	-1.37678884019
HARPS.2006-03-14T05:12:22.077	2453808.71864	-21.9773734524	-0.0017244606364066328	-1.3840170021
HARPS.2006-03-14T05:13:02.452	2453808.7191	-21.977349249099998	-0.0017000338189880893	-1.38104521916
HARPS.2006-03-14T05:13:40.996	2453808.7195599996	-21.9762562393	-0.0006068005015720246	-1.38241474197
HARPS.2006-04-03T04:56:01.090	2453828.70851	-21.984388675100003	0.0006312024529826488	-1.37526738183
